Dt,Price,Open,High,Low,Vol.,Change %
09/30/20,"1,895.50","1,903.20","1,908.20","1,885.80",259.87K,-0.40%
09/29/20,"1,903.20","1,886.40","1,904.80","1,880.80",217.80K,1.11%
09/28/20,"1,882.30","1,862.70","1,888.20","1,851.10",235.92K,0.86%
09/25/20,"1,866.30","1,872.70","1,879.30","1,854.10",230.86K,-0.56%
09/24/20,"1,876.90","1,866.90","1,880.90","1,851.00",345.04K,0.45%
09/23/20,"1,868.40","1,905.10","1,909.90","1,856.00",411.56K,-2.05%
09/22/20,"1,907.60","1,918.10","1,925.50","1,898.90",282.71K,-0.16%
09/21/20,"1,910.60","1,957.30","1,962.90","1,885.40",381.84K,-2.62%
09/18/20,"1,962.10","1,951.10","1,968.20","1,951.10",174.77K,0.63%
09/17/20,"1,949.90","1,967.60","1,969.30","1,938.20",273.14K,-1.05%
09/16/20,"1,970.50","1,961.40","1,983.80","1,957.20",298.39K,0.22%
09/15/20,"1,966.20","1,966.20","1,982.40","1,955.60",239.54K,0.13%
09/14/20,"1,963.70","1,948.90","1,972.50","1,945.20",200.09K,0.81%
09/11/20,"1,947.90","1,953.80","1,963.40","1,944.00",205.23K,-0.83%
09/10/20,"1,964.30","1,955.30","1,975.20","1,948.60",271.48K,0.48%
09/09/20,"1,954.90","1,939.40","1,959.70","1,926.30",227.18K,0.60%
09/08/20,"1,943.20","1,938.00","1,948.30","1,911.70",416.01K,0.31%
09/07/20,"1,937.10","1,940.70","1,947.40","1,930.45",-,-0.18%
09/06/20,"1,940.65","1,941.90","1,944.30","1,937.65",-,0.33%
09/04/20,"1,934.30","1,938.00","1,956.60","1,921.60",304.74K,-0.18%
09/03/20,"1,937.80","1,948.90","1,956.60","1,927.20",303.03K,-0.35%
09/02/20,"1,944.70","1,976.80","1,980.40","1,938.90",332.59K,-1.73%
09/01/20,"1,978.90","1,973.70","2,001.20","1,969.20",304.89K,0.02%
08/31/20,"1,978.60","1,973.90","1,985.80","1,962.30",245.11K,0.19%
08/28/20,"1,974.90","1,937.50","1,983.00","1,928.20",334.10K,2.19%
08/27/20,"1,932.60","1,963.00","1,987.00","1,914.70",467.17K,-1.02%
08/26/20,"1,952.50","1,939.00","1,963.40","1,908.40",342.21K,1.53%
08/25/20,"1,923.10","1,935.90","1,944.10","1,919.10",274.11K,-0.83%
08/24/20,"1,939.20","1,947.90","1,970.30","1,930.80",286.26K,-0.40%
08/21/20,"1,947.00","1,955.60","1,963.10","1,916.60",355.07K,0.03%
08/20/20,"1,946.50","1,934.40","1,963.10","1,928.90",383.34K,-1.21%
08/19/20,"1,970.30","2,010.50","2,015.60","1,930.50",443.26K,-2.13%
08/18/20,"2,013.10","1,993.60","2,024.60","1,985.20",361.48K,0.72%
08/17/20,"1,998.70","1,956.40","2,000.80","1,939.10",289.44K,2.51%
08/14/20,"1,949.80","1,963.80","1,970.00","1,939.10",241.80K,-1.05%
08/13/20,"1,970.40","1,927.30","1,974.80","1,923.00",349.89K,1.10%
08/12/20,"1,949.00","1,921.60","1,961.00","1,874.20",459.84K,0.14%
08/11/20,"1,946.30","2,038.40","2,040.50","1,911.30",565.00K,-4.58%
08/10/20,"2,039.70","2,044.80","2,060.80","2,027.80",251.31K,0.58%
08/07/20,"2,028.00","2,076.40","2,089.20","2,024.80",398.13K,-2.00%
08/06/20,"2,069.40","2,055.00","2,081.80","2,049.00",312.76K,0.98%
08/05/20,"2,049.30","2,037.00","2,070.30","2,027.50",366.38K,1.40%
08/04/20,"2,021.00","1,993.50","2,037.70","1,982.60",274.42K,1.75%
08/03/20,"1,986.30","1,997.40","2,009.50","1,975.20",178.75K,0.02%
07/31/20,"1,985.90","1,973.60","2,005.40","1,971.40",279.32K,0.97%
07/30/20,"1,966.80","1,986.40","1,987.30","1,952.30",271.38K,-0.50%
07/29/20,"1,976.70","1,971.90","1,998.40","1,955.70",197.82K,0.65%
07/28/20,"1,963.90","1,963.20","2,000.00","1,927.50",161.58K,0.43%
07/27/20,"1,955.40","1,929.00","1,971.30","1,926.80",137.85K,1.57%
07/24/20,"1,925.20","1,912.30","1,933.60","1,908.00",66.45K,0.41%
07/23/20,"1,917.40","1,900.00","1,927.10","1,890.40",72.36K,1.31%
07/22/20,"1,892.60","1,867.80","1,899.00","1,867.80",49.86K,1.23%
07/21/20,"1,869.60","1,842.50","1,870.50","1,839.90",31.69K,1.60%
07/20/20,"1,840.10","1,835.50","1,846.10","1,830.70",19.19K,0.35%
07/17/20,"1,833.70","1,822.90","1,837.60","1,821.00",16.39K,0.39%
07/16/20,"1,826.50","1,840.70","1,843.70","1,819.90",18.23K,-0.82%
07/15/20,"1,841.60","1,839.70","1,847.20","1,831.90",13.32K,0.01%
07/14/20,"1,841.50","1,834.20","1,843.00","1,819.30",40.63K,-0.12%
07/13/20,"1,843.70","1,831.60","1,847.70","1,831.60",36.09K,0.68%
07/10/20,"1,831.30","1,837.00","1,846.30","1,825.50",40.13K,-0.12%
07/09/20,"1,833.50","1,849.80","1,854.60","1,829.60",48.72K,-0.92%
07/08/20,"1,850.60","1,832.60","1,857.00","1,829.10",58.42K,0.89%
07/07/20,"1,834.30","1,817.20","1,835.00","1,804.80",18.51K,1.00%
07/06/20,"1,816.10","1,809.30","1,821.30","1,801.60",10.49K,1.59%
07/03/20,"1,787.60","1,786.90","1,788.70","1,783.65",-,-1.35%
07/02/20,"1,812.00","1,802.20","1,813.90","1,788.30",11.53K,0.56%
07/01/20,"1,801.90","1,817.50","1,827.10","1,789.80",15.52K,-1.02%
06/30/20,"1,820.40","1,803.70","1,823.50","1,794.00",8.60K,1.13%
06/29/20,"1,800.10","1,807.30","1,808.60","1,795.30",4.16K,0.09%
06/26/20,"1,798.50","1,792.50","1,804.00","1,772.00",4.76K,0.56%
06/25/20,"1,788.40","1,789.30","1,796.60","1,781.60",6.30K,-0.23%
06/24/20,"1,792.60","1,800.40","1,810.70","1,787.80",8.73K,-0.25%
06/23/20,"1,797.10","1,780.00","1,801.50","1,774.00",4.07K,0.86%
06/22/20,"1,781.70","1,780.30","1,793.60","1,769.00",5.87K,0.74%
06/19/20,"1,768.60","1,746.60","1,775.60","1,745.50",8.36K,1.18%
06/18/20,"1,747.90","1,752.90","1,765.20","1,739.60",4.78K,-0.31%
06/17/20,"1,753.40","1,751.50","1,756.80","1,735.60",3.83K,-0.06%
06/16/20,"1,754.40","1,751.40","1,757.50","1,739.80",4.23K,0.54%
06/15/20,"1,744.90","1,759.10","1,759.60","1,724.60",4.43K,-0.59%
06/12/20,"1,755.20","1,751.70","1,770.50","1,746.90",3.61K,-0.14%
06/11/20,"1,757.60","1,764.90","1,772.60","1,746.00",6.57K,1.07%
06/10/20,"1,739.00","1,737.70","1,767.00","1,732.80",8.14K,-0.07%
06/09/20,"1,740.30","1,724.90","1,747.50","1,715.90",6.82K,0.96%
06/08/20,"1,723.80","1,706.10","1,726.00","1,700.10",4.83K,1.29%
06/05/20,"1,701.90","1,740.20","1,741.90","1,690.10",9.81K,-2.55%
06/04/20,"1,746.40","1,721.00","1,747.30","1,718.50",5.81K,1.33%
06/03/20,"1,723.50","1,750.30","1,754.10","1,707.50",7.57K,-1.50%
06/02/20,"1,749.70","1,766.20","1,771.00","1,743.40",4.99K,-0.79%
06/01/20,"1,763.70","1,763.10","1,774.50","1,751.60",3.29K,-0.11%
05/29/20,"1,765.70","1,748.70","1,767.10","1,740.70",6.42K,1.32%
05/28/20,"1,742.70","1,737.50","1,757.30","1,734.30",4.17K,0.13%
05/27/20,"1,740.50","1,738.80","1,743.30","1,714.80",6.08K,0.00%
05/26/20,"1,740.50","1,761.00","1,768.00","1,734.80",6.03K,0.78%
05/25/20,"1,727.00","1,730.55","1,731.35","1,719.25",-,-0.21%
05/24/20,"1,730.65","1,735.45","1,735.90","1,729.80",-,-1.98%
05/22/20,"1,765.60","1,755.90","1,768.30","1,750.60",8.36K,0.87%
05/21/20,"1,750.40","1,778.80","1,779.80","1,743.80",5.87K,-1.76%
05/20/20,"1,781.70","1,777.70","1,785.10","1,773.00",4.20K,0.47%
05/19/20,"1,773.40","1,763.00","1,779.60","1,754.20",4.33K,0.73%
05/18/20,"1,760.60","1,780.00","1,800.00","1,756.20",4.07K,-1.02%
05/15/20,"1,778.70","1,760.10","1,783.00","1,758.00",5.54K,0.95%
05/14/20,"1,762.00","1,743.30","1,765.10","1,735.00",4.05K,1.42%
05/13/20,"1,737.30","1,726.60","1,744.50","1,721.00",6.18K,0.54%
05/12/20,"1,728.00","1,721.10","1,737.20","1,717.00",5.81K,0.41%
05/11/20,"1,720.90","1,727.70","1,734.20","1,714.20",6.37K,-0.82%
05/08/20,"1,735.20","1,743.50","1,752.70","1,724.50",8.13K,-0.49%
05/07/20,"1,743.70","1,706.40","1,750.50","1,704.50",8.26K,2.31%
05/06/20,"1,704.40","1,730.50","1,733.40","1,698.80",5.81K,-1.37%
05/05/20,"1,728.00","1,719.00","1,733.70","1,710.50",8.37K,0.12%
05/04/20,"1,725.90","1,722.90","1,735.50","1,711.80",3.35K,0.81%
05/01/20,"1,712.00","1,705.70","1,723.10","1,688.00",2.33K,0.42%
04/30/20,"1,704.90","1,737.00","1,745.00","1,697.70",3.80K,-1.02%
04/29/20,"1,722.40","1,735.00","1,741.80","1,718.00",1.90K,-0.51%
04/28/20,"1,731.20","1,731.80","1,740.00","1,712.70",3.06K,-0.01%
04/27/20,"1,731.40","1,746.70","1,753.00","1,726.80",2.90K,-0.59%
04/24/20,"1,741.70","1,754.40","1,765.50","1,733.00",2.26K,-0.53%
04/23/20,"1,751.00","1,741.40","1,769.20","1,736.00",3.79K,0.43%
04/22/20,"1,743.50","1,707.60","1,747.10","1,700.00",2.50K,3.04%
04/21/20,"1,692.10","1,717.60","1,720.80","1,670.30",2.73K,-1.35%
04/20/20,"1,715.30","1,697.20","1,722.00","1,689.20",2.52K,0.74%
04/17/20,"1,702.70","1,740.70","1,741.30","1,695.50",4.41K,-1.94%
04/16/20,"1,736.30","1,744.00","1,771.20","1,727.60",3.83K,-0.48%
04/15/20,"1,744.70","1,760.70","1,762.70","1,736.40",3.86K,-1.50%
04/14/20,"1,771.20","1,768.00","1,789.50","1,750.00",7.09K,0.48%
04/13/20,"1,762.70","1,741.60","1,773.50","1,725.00",4.15K,1.27%
04/10/20,"1,740.60","1,740.60","1,740.60","1,740.60",-,-0.74%
